,success_auc,success_auc,success_auc,success_auc,final_success,final_success,final_success,final_success,frames_to_50,frames_to_50,frames_to_50,frames_to_50,frames_to_90,frames_to_90,frames_to_90,frames_to_90,first_success_step,first_success_step,first_success_step,first_success_step,wall_time_s,wall_time_s,wall_time_s,wall_time_s,final_entropy,final_entropy,final_entropy,final_entropy,mean_cf_reward_coverage,mean_cf_reward_coverage,mean_cf_reward_coverage,mean_cf_reward_coverage,mean_cf_corr_gae,mean_cf_corr_gae,mean_cf_corr_gae,mean_cf_corr_gae
,median,mean,std,count,median,mean,std,count,median,mean,std,count,median,mean,std,count,median,mean,std,count,median,mean,std,count,median,mean,std,count,median,mean,std,count,median,mean,std,count
group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cf,0.6167768776166555,0.6305031494139614,0.09170971862452906,5,1.0,0.998,0.004472135954999583,5,789856.0,780048.0,189278.623832698,5,934960.0,863340.8,204819.84635088465,5,11344.0,10400.0,5792.44197208742,5,7660.5,7559.960000000001,647.5783219039996,5,0.0610658330842852,0.06824690450448537,0.03120162212869693,5,0.5556348889015822,0.5736174101787855,0.0884652499544603,5,0.1067743095794509,0.10605366664038551,0.01269691969444453,5
gae,0.5860792718754257,0.49244238338792057,0.2995091307929008,5,1.0,0.7979999999999999,0.4405905128347636,5,783352.0,812940.0,278720.2860695049,4,868848.0,892140.0,298505.00826172635,4,11344.0,10428.8,5845.65643875861,5,1396.9,1391.66,27.52758616370128,5,0.0570745902368798,0.3653578935656696,0.6245049854114101,5,,,,0,,,,0
shuf,0.7177585956766893,0.6483402125637087,0.12339304802011258,5,1.0,0.994,0.013416407864998758,5,611360.0,741014.4,238629.19897782835,5,664768.0,794096.0,234501.65277029498,5,11344.0,10713.6,6382.993404351911,5,6981.5,7309.460000000001,933.2539327535674,5,0.0545823103748261,0.07589689560700202,0.04304491934085664,5,0.661795281887245,0.6037847718055633,0.11905102394604361,5,0.0042622172584772,0.0025667087597673202,0.004078889478543137,5
