stage,group,env_tag,algo_tag,seed,beta,run_name,env_id,config_source,pg_mode,alpha_gae,alpha_cf,cf_horizon,cf_subsample,cf_branch_budget,perturb_beta,total_timesteps,wall_time_s,n_episodes,first_success_step,out_dir,finished_at,git_sha,final_success,n_success_episodes,success_auc,frames_to_50,frames_to_90,final_subgoal1,final_subgoal2,final_return_100,final_length_100,final_entropy,final_approx_kl,final_clipfrac,final_explained_variance,final_pg_loss,final_v_loss,final_sps,mean_cf_centering,final_cf_centering,mean_cf_mean_abs,final_cf_mean_abs,mean_cf_corr_gae,final_cf_corr_gae,mean_cf_frac_states,final_cf_frac_states,mean_perturb_beta,final_perturb_beta,mean_perturb_scope_fraction,final_perturb_scope_fraction,mean_perturb_centering,final_perturb_centering,mean_perturb_mean_abs,final_perturb_mean_abs,mean_perturb_payload_rms,final_perturb_payload_rms,mean_distill_centering,final_distill_centering,mean_distill_mean_abs,final_distill_mean_abs,mean_cf_reward_coverage,final_cf_reward_coverage,mean_cf_terminated_within_horizon,final_cf_terminated_within_horizon,mean_cf_frac_states_any_reward,final_cf_frac_states_any_reward,mean_cf_branch_transitions,final_cf_branch_transitions,mean_cf_n_cf_states,final_cf_n_cf_states,mean_distill_replay_size,final_distill_replay_size,mean_distill_total_labels,final_distill_total_labels,mean_distill_student_loss,final_distill_student_loss,mean_distill_student_steps,final_distill_student_steps,mean_distill_target_centering,final_distill_target_centering,mean_distill_prediction_centering,final_distill_prediction_centering,mean_distill_heldout_pg_error,final_distill_heldout_pg_error,mean_distill_heldout_direction_cos,final_distill_heldout_direction_cos,mean_distill_heldout_best_action_agreement,final_distill_heldout_best_action_agreement
E2_TAXI,queried,taxi,ppo-cf-queried-perturb,2,1.5,e2_taxi_queried_b1p5,Taxi-v4,taxi_cf,cf_queried_perturb,1.0,0.5,32,0.02,1.28,1.5,1000000,423.1,8607,5904,runs/e2_taxi_queried_b1p5/seed_2,2026-09-11T00:43:10+0800,c7f5f8c,0.68,5092,0.502705812584756,339616.0,,0.0,0.0,-93.63,102.33,0.2322783535346388,5.225501809036359e-09,0.0,0.7640250218113176,0.000575394835323,90.11087775230408,2392.0,,,,,,,0.0,0.0,1.5,1.5,0.01953125,0.01953125,1.1446068913487504e-05,1.0258052498102188e-05,9.11103970154387,11.3175048828125,0.0414705561792676,0.005786505062133,,,,,1.0,1.0,0.18127561475409834,0.1916666666666666,1.0,1.0,6745.952868852459,6617.0,20.0,20.0,,,,,,,,,,,,,,,,,,
E2_TAXI,queried,taxi,ppo-cf-queried-perturb,3,0.25,e2_taxi_queried_b0p25,Taxi-v4,taxi_cf,cf_queried_perturb,1.0,0.5,32,0.02,1.28,0.25,1000000,286.4,7035,4096,runs/e2_taxi_queried_b0p25/seed_3,2026-09-11T00:40:53+0800,c7f5f8c,0.71,3025,0.33872028766098894,546320.0,,0.0,0.0,-96.73,103.99,0.6835533753037453,2.2084350348450243e-08,0.0,0.6527579287426375,-0.0010795237030833,227.1653623580933,3586.0,,,,,,,0.0,0.0,0.25,0.25,0.01953125,0.01953125,1.327087142510477e-05,9.139999747276306e-06,6.241406977176666,10.793208122253418,0.008748011384206987,0.0361728481948375,,,,,1.0,1.0,0.10710382513661199,0.2625,1.0,1.0,7224.944672131148,6580.0,20.0,20.0,,,,,,,,,,,,,,,,,,
E2_TAXI,queried,taxi,ppo-cf-queried-perturb,3,0.75,e2_taxi_queried_b0p75,Taxi-v4,taxi_cf,cf_queried_perturb,1.0,0.5,32,0.02,1.28,0.75,1000000,275.8,12387,4096,runs/e2_taxi_queried_b0p75/seed_3,2026-09-11T00:50:09+0800,c7f5f8c,0.84,8460,0.5285377276609889,342976.0,,0.0,0.0,-32.54,48.65,0.2921822406351566,7.0072019298095264e-09,0.0,0.93797133344054,0.0005514143558684,91.2094783782959,3672.0,,,,,,,0.0,0.0,0.75,0.75,0.01953125,0.01953125,1.1167048051291084e-05,8.666887879371643e-06,6.22454488961423,9.49986457824707,0.0198080396739151,0.0161658842116594,,,,,1.0,1.0,0.1696465163934426,0.3583333333333333,1.0,1.0,6791.053278688524,5380.0,20.0,20.0,,,,,,,,,,,,,,,,,,
E2_TAXI,queried,taxi,ppo-cf-queried-perturb,3,1.5,e2_taxi_queried_b1p5,Taxi-v4,taxi_cf,cf_queried_perturb,1.0,0.5,32,0.02,1.28,1.5,1000000,282.7,7003,4096,runs/e2_taxi_queried_b1p5/seed_3,2026-09-11T00:59:26+0800,c7f5f8c,0.67,3198,0.37497468766098896,489648.0,,0.0,0.0,-99.87,107.01,0.4862779174000025,1.3973931345390156e-08,0.0,0.5333503066189216,-0.0062045327940722,243.72371673583984,3601.0,,,,,,,0.0,0.0,1.5,1.5,0.01953125,0.01953125,1.2628971707958133e-05,8.787959814071655e-06,7.148328023367241,14.036620140075684,0.052118234689439005,0.197254404425621,,,,,1.0,1.0,0.12361680327868849,0.3541666666666667,1.0,1.0,7104.477459016393,6113.0,20.0,20.0,,,,,,,,,,,,,,,,,,
E2_TAXI,queried,taxi,ppo-cf-queried-perturb,4,0.25,e2_taxi_queried_b0p25,Taxi-v4,taxi_cf,cf_queried_perturb,1.0,0.5,32,0.02,1.28,0.25,1000000,424.0,7863,7632,runs/e2_taxi_queried_b0p25/seed_4,2026-09-11T01:42:59+0800,c7f5f8c,0.65,4198,0.4498014273098115,382528.0,,0.0,0.0,-100.74,106.29,0.3696157298982143,1.1058546078857034e-08,0.0,0.7919250562106902,0.0002404135884717,126.6293878555298,2411.0,,,,,,,0.0,0.0,0.25,0.25,0.01953125,0.01953125,1.224948104969431e-05,1.4089979231357574e-05,7.784489387860064,11.81139087677002,0.006420211730759587,0.0047702086158096,,,,,1.0,1.0,0.1467554644808743,0.3166666666666666,1.0,1.0,6946.131147540984,5932.0,20.0,20.0,,,,,,,,,,,,,,,,,,
E2_TAXI,queried,taxi,ppo-cf-queried-perturb,4,0.75,e2_taxi_queried_b0p75,Taxi-v4,taxi_cf,cf_queried_perturb,1.0,0.5,32,0.02,1.28,0.75,1000000,421.1,7632,7632,runs/e2_taxi_queried_b0p75/seed_4,2026-09-11T01:57:22+0800,c7f5f8c,0.62,3819,0.4022175873098115,467056.0,,0.0,0.0,-104.05,110.59,0.6493451595306396,7.554262992925942e-09,0.0,0.7670032086867209,0.0002918178215622,162.95767307281494,2399.0,,,,,,,0.0,0.0,0.75,0.75,0.01953125,0.01953125,1.2775578815323019e-05,6.5267086029052734e-06,7.372825246365344,6.517626762390137,0.021984107185490993,0.0126677481457591,,,,,1.0,1.0,0.13135245901639342,0.375,1.0,1.0,7039.573770491803,5854.0,20.0,20.0,,,,,,,,,,,,,,,,,,
E2_TAXI,queried,taxi,ppo-cf-queried-perturb,4,1.5,e2_taxi_queried_b1p5,Taxi-v4,taxi_cf,cf_queried_perturb,1.0,0.5,32,0.02,1.28,1.5,1000000,424.9,7484,7632,runs/e2_taxi_queried_b1p5/seed_4,2026-09-11T02:11:48+0800,c7f5f8c,0.57,3675,0.4196357473098115,368416.0,,0.0,0.0,-119.63,121.88,0.4075916409492492,6.523805495817214e-09,0.0,0.4083623753781245,-0.0008259419701062,223.019455909729,2383.0,,,,,,,0.0,0.0,1.5,1.5,0.01953125,0.01953125,1.2250003554400478e-05,1.0213814675807951e-05,6.512009611383814,9.592985153198242,0.0398887862693747,0.037127137184143,,,,,1.0,1.0,0.12191769125683057,0.1625,1.0,1.0,7104.959016393443,6665.0,20.0,20.0,,,,,,,,,,,,,,,,,,
E2_UNLOCKPICKUP,distill,unlockpickup,ppo-cf-distilled,0,0.25,e2_unlockpickup_distill_b0p25,MiniGrid-UnlockPickup-v0,unlockpickup_cf,landscape_distill,1.0,0.5,64,0.02,2.56,0.25,1500000,3568.9,45890,55072,runs/e2_unlockpickup_distill_b0p25/seed_0,2026-09-11T02:06:52+0800,c7f5f8c,1.0,44388,0.7930585066666667,303152.0,343472.0,1.0,1.0,0.9305312499999999,22.23,0.9532399699091912,0.0074039683045157,0.09326171875,0.8054831424843196,-0.0118619241984561,0.0027487972511153,420.0,,,,,,,0.0,0.0,0.24009562841530055,0.25,1.0,1.0,4.201764260144215e-09,4.71482053399086e-09,0.013605510694155413,0.0186346229165792,0.04966512701252746,0.0282675195485353,4.201764260144215e-09,4.71482053399086e-09,0.013605510694155413,0.0186346229165792,0.6877629900420783,0.8902439024390244,0.6877629900420783,0.8902439024390244,0.7251765960282555,0.951219512195122,16111.456284153006,11000.0,41.0,41.0,3822.0819672131147,4096.0,15047.0,30012.0,0.0008725471230601311,0.0009064434998435,10.0,10.0,9.94119430515328e-08,1.734588295221329e-07,3.413098787203752e-09,2.939486876130104e-09,0.005587321533560653,0.0077628069557249,0.48333051636983015,0.7506213188171387,0.5525123284019725,0.8292682926829268
E2_UNLOCKPICKUP,distill,unlockpickup,ppo-cf-distilled,0,0.75,e2_unlockpickup_distill_b0p75,MiniGrid-UnlockPickup-v0,unlockpickup_cf,landscape_distill,1.0,0.5,64,0.02,2.56,0.75,1500000,4185.6,36994,55072,runs/e2_unlockpickup_distill_b0p75/seed_0,2026-09-11T04:17:09+0800,c7f5f8c,0.98,34425,0.5670659733333333,649456.0,699280.0,1.0,1.0,0.918125,25.56,0.7626882176846266,0.0186926140813739,0.1121826171875,0.9324756360799809,-0.0010174066410399,0.0023029948515613,358.0,,,,,,,0.0,0.0,0.7202868852459017,0.75,1.0,1.0,3.2435654842035544e-09,5.122274160385132e-09,0.009232733321204811,0.0175758190453052,0.12298278281938466,0.1977076977491378,3.2435654842035544e-09,5.122274160385132e-09,0.009232733321204811,0.0175758190453052,0.48520591763294685,0.8118466898954704,0.48520591763294685,0.8118466898954704,0.5143276022924164,0.8292682926829268,20910.860655737706,12219.0,41.0,41.0,3822.0819672131147,4096.0,15047.0,30012.0,0.0005323982279240415,0.0003646384153398,10.0,10.0,7.141861043450691e-08,1.2929740478284657e-07,2.396451600610111e-09,4.438334144651891e-09,0.003565598519026224,0.004699439741671,0.33641655904914747,0.5404189825057983,0.4470211915233907,0.6829268292682927
E2_UNLOCKPICKUP,distill,unlockpickup,ppo-cf-distilled,0,1.5,e2_unlockpickup_distill_b1p5,MiniGrid-UnlockPickup-v0,unlockpickup_cf,landscape_distill,1.0,0.5,64,0.02,2.56,1.5,1500000,4223.9,38167,55072,runs/e2_unlockpickup_distill_b1p5/seed_0,2026-09-11T06:37:38+0800,c7f5f8c,1.0,35419,0.5406946133333332,682800.0,712064.0,1.0,1.0,0.9460312500000001,17.27,0.2732309522107243,0.0023610540879417,0.007568359375,0.9274167705961668,-0.0593529652105644,7.366381157680735e-05,355.0,,,,,,,0.0,0.0,1.4405737704918034,1.5,1.0,1.0,4.088971949133955e-09,5.587935447692871e-09,0.011140174504854194,0.0237308293581008,0.2661247684956208,0.6808456182479858,4.088971949133955e-09,5.587935447692871e-09,0.011140174504854194,0.0237308293581008,0.45064831210373,0.9860627177700348,0.45064831210373,0.9860627177700348,0.4794082367053179,1.0,21488.40163934426,6260.0,41.0,41.0,3822.0819672131147,4096.0,15047.0,30012.0,0.0004930053111386865,0.0003223385618184,10.0,10.0,6.762379068140889e-08,1.3144745025783777e-07,3.5123061423458292e-09,5.871697794646025e-09,0.0031948950583354256,0.0015804051654413,0.33197317666662324,0.8682262301445007,0.4495535119285618,0.8780487804878049
