,success_auc,success_auc,success_auc,success_auc,final_success,final_success,final_success,final_success,frames_to_50,frames_to_50,frames_to_50,frames_to_50,frames_to_90,frames_to_90,frames_to_90,frames_to_90,first_success_step,first_success_step,first_success_step,first_success_step,wall_time_s,wall_time_s,wall_time_s,wall_time_s,final_entropy,final_entropy,final_entropy,final_entropy,mean_cf_reward_coverage,mean_cf_reward_coverage,mean_cf_reward_coverage,mean_cf_reward_coverage,mean_cf_corr_gae,mean_cf_corr_gae,mean_cf_corr_gae,mean_cf_corr_gae
,median,mean,std,count,median,mean,std,count,median,mean,std,count,median,mean,std,count,median,mean,std,count,median,mean,std,count,median,mean,std,count,median,mean,std,count,median,mean,std,count
group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cf,0.0320585861463498,0.02617482713682684,0.01480489805775167,5,0.0,0.004,0.00894427190999916,5,5856.0,5856.0,,1,,,,0,10768.0,16460.8,16599.687322356407,5,30426.8,30236.120000000003,1256.0632933893107,5,1.4945860169827938,1.524785316735506,0.08288330400168156,5,0.0020420403267264,0.0020977323356371003,0.0016623563429304191,5,0.0214382623552275,0.02447303482925334,0.0075231549253369084,5
gae,0.0154126283101585,0.0313051817643268,0.036754704419855344,5,0.01,0.048,0.09093954035511725,5,5856.0,5856.0,,1,,,,0,12640.0,12825.6,6508.053841203221,5,1840.8,1818.0400000000002,42.65428466168437,5,1.557520318776369,1.541132825613022,0.036165909308984584,5,,,,0,,,,0
shuf,0.0296670522392744,0.02367318089712468,0.012634937578086237,5,0.01,0.006,0.005477225575051661,5,5856.0,5856.0,,1,,,,0,10768.0,10800.0,4596.8058475423995,5,30182.3,29734.7,1093.6800834796259,5,1.6374581307172775,1.6248491622507573,0.058566620870133354,5,0.0023390643742502,0.00219198035071678,0.0016260038584739835,5,8.960569288856261e-05,-0.0004556300340899674,0.0030130681144612155,5
