stage,group,env_tag,algo_tag,seed,beta,query_strategy,run_name,env_id,config_source,pg_mode,alpha_gae,alpha_cf,cf_horizon,cf_subsample,cf_branch_budget,perturb_beta,total_timesteps,wall_time_s,n_episodes,first_success_step,out_dir,finished_at,git_sha,final_success,n_success_episodes,success_auc,frames_to_50,frames_to_90,final_subgoal1,final_subgoal2,final_return_100,final_length_100,final_entropy,final_approx_kl,final_clipfrac,final_explained_variance,final_pg_loss,final_v_loss,final_sps,mean_cf_centering,final_cf_centering,mean_cf_mean_abs,final_cf_mean_abs,mean_cf_corr_gae,final_cf_corr_gae,mean_cf_frac_states,final_cf_frac_states,mean_perturb_beta,final_perturb_beta,mean_perturb_scope_fraction,final_perturb_scope_fraction,mean_perturb_centering,final_perturb_centering,mean_perturb_mean_abs,final_perturb_mean_abs,mean_perturb_payload_rms,final_perturb_payload_rms,mean_distill_centering,final_distill_centering,mean_distill_mean_abs,final_distill_mean_abs,mean_cf_reward_coverage,final_cf_reward_coverage,mean_cf_terminated_within_horizon,final_cf_terminated_within_horizon,mean_cf_frac_states_any_reward,final_cf_frac_states_any_reward,mean_cf_branch_transitions,final_cf_branch_transitions,mean_cf_n_cf_states,final_cf_n_cf_states,mean_cf_query_active,final_cf_query_active,mean_cf_query_score_mean,final_cf_query_score_mean,mean_cf_query_score_selected_mean,final_cf_query_score_selected_mean,mean_cf_query_score_unselected_mean,final_cf_query_score_unselected_mean,mean_cf_query_score_selected_p10,final_cf_query_score_selected_p10,mean_cf_query_uncertainty_mean,final_cf_query_uncertainty_mean,mean_cf_query_uncertainty_selected_mean,final_cf_query_uncertainty_selected_mean,mean_cf_query_uncertainty_unselected_mean,final_cf_query_uncertainty_unselected_mean,mean_cf_query_leverage_mean,final_cf_query_leverage_mean,mean_cf_query_leverage_selected_mean,final_cf_query_leverage_selected_mean,mean_cf_query_leverage_unselected_mean,final_cf_query_leverage_unselected_mean,mean_distill_query_ready,final_distill_query_ready,mean_distill_query_uncertainty_mean,final_distill_query_uncertainty_mean,mean_distill_query_uncertainty_p90,final_distill_query_uncertainty_p90,mean_distill_query_leverage_mean,final_distill_query_leverage_mean,mean_distill_query_leverage_p90,final_distill_query_leverage_p90,mean_distill_query_score_mean,final_distill_query_score_mean,mean_distill_query_active_strategy,final_distill_query_active_strategy,mean_distill_replay_size,final_distill_replay_size,mean_distill_total_labels,final_distill_total_labels,mean_distill_student_loss,final_distill_student_loss,mean_distill_student_steps,final_distill_student_steps,mean_distill_target_centering,final_distill_target_centering,mean_distill_prediction_centering,final_distill_prediction_centering,mean_distill_heldout_pg_error,final_distill_heldout_pg_error,mean_distill_heldout_teacher_pg_norm,final_distill_heldout_teacher_pg_norm,mean_distill_heldout_student_pg_norm,final_distill_heldout_student_pg_norm,mean_distill_heldout_direction_cos,final_distill_heldout_direction_cos,mean_distill_heldout_best_action_agreement,final_distill_heldout_best_action_agreement
E3_DK6,active,doorkey6x6,ppo-cf-distilled-uncertainty-leverage,0,0.75,uncertainty_leverage,e3_dk6_active_b0p75,MiniGrid-DoorKey-6x6-v0,doorkey6x6_cf,landscape_distill,1.0,0.5,16,0.02,0.64,0.75,750000,1149.6,16805,9632,runs/e3_dk6_active_b0p75/seed_0,2026-09-11T16:44:56+0800,c7f5f8c,1.0,16039,0.6942274363241023,217056.0,358400.0,1.0,1.0,0.9599000000000001,16.04,0.439433584921062,0.0120375081751262,0.1077880859375,0.6964361340502644,-0.0110778833623044,0.00036462427488,654.0,,,,,,,0.0,0.0,0.6905737704918032,0.75,1.0,1.0,3.5184523175964183e-09,3.4660843084566287e-09,0.005531557959687589,0.0091437017545104,0.054265596445833036,0.0500365495681762,3.5184523175964183e-09,3.4660843084566287e-09,0.005531557959687589,0.0091437017545104,0.3690618990499038,0.7038327526132404,0.3690618990499038,0.7038327526132404,0.642676262828202,0.975609756097561,7703.3442622950815,7957.0,41.0,41.0,0.9344262295081968,1.0,1.5586132166943344e-05,5.353164944835176e-06,6.638538180451179e-05,3.264128188276096e-05,1.4548379683066526e-05,4.795709641170524e-06,5.050519770020492e-05,2.347332520002965e-05,0.003958393069128967,0.0023684870155307,0.006032969303450242,0.0059730973798872,0.003916012588009294,0.0022948502318044,0.003234431592385181,0.0020414495980958,0.009623437527900909,0.0054398049123403,0.0031039137830398147,0.0019720262957121,0.9344262295081968,1.0,0.003958393070882376,0.0023684869520366,0.005867275617421233,0.0045552100054919,0.0032344315877906463,0.0020414495375007,0.005321470128697968,0.0037692859768867,1.5586132093902276e-05,5.35316485184012e-06,1.0,1.0,3548.1639344262294,4096.0,7544.0,15006.0,0.0018431526662598767,0.0004029030737001,10.0,10.0,9.835665268763508e-08,1.608059392310679e-07,1.7393576754975931e-09,6.875779945403336e-10,0.012253176015699896,0.0079821925610303,0.01223563660468006,0.008406912907958,0.0045525375958798825,0.0029781621415168,0.15217858022789768,0.3091591298580169,0.3805144608823138,0.4390243902439024
E3_DK6,active,doorkey6x6,ppo-cf-distilled-uncertainty-leverage,1,0.75,uncertainty_leverage,e3_dk6_active_b0p75,MiniGrid-DoorKey-6x6-v0,doorkey6x6_cf,landscape_distill,1.0,0.5,16,0.02,0.64,0.75,750000,1192.8,4803,3360,runs/e3_dk6_active_b0p75/seed_1,2026-09-11T16:48:14+0800,c7f5f8c,1.0,3588,0.5216275375402424,3360.0,3360.0,1.0,1.0,0.9011,39.56,1.229149866849184,0.013191627265769,0.16015625,0.4610733930511377,-0.0067213848233222,0.0038868852061568,631.0,,,,,,,0.0,0.0,0.6905737704918032,0.75,1.0,1.0,5.058147329035535e-09,1.1175870895385742e-08,0.00415763025594453,0.0096383690834045,0.059794175199390724,0.0582069940865039,5.058147329035535e-09,1.1175870895385742e-08,0.00415763025594453,0.0096383690834045,0.2866186858589897,0.6393728222996515,0.2866186858589897,0.6393728222996515,0.5651072904171665,0.8292682926829268,7559.524590163935,5138.0,41.0,41.0,0.9344262295081968,1.0,2.5771350528920957e-05,3.908865204471645e-05,0.0001425074716245043,0.0001868395423715,2.3386606650036964e-05,3.607032294486607e-05,9.21137654176619e-05,0.000172396947164,0.005619123605429847,0.0073254720894624,0.008356617137830454,0.0074330952540948,0.005563200718121216,0.0073232735096169,0.00362978785460599,0.0054204573112173,0.014034536147480662,0.0311874737281624,0.0034172344515128886,0.0048940758099244,0.9344262295081968,1.0,0.0056191236022452165,0.0073254723101854,0.00796609154337493,0.0122747626155614,0.0036297878632168767,0.0054204575717449,0.006059077256002869,0.008838246576488,2.5771350585555356e-05,3.908865255652927e-05,1.0,1.0,3548.1639344262294,4096.0,7544.0,15006.0,0.002528307920379744,0.0021799254813231,10.0,10.0,8.691086516646564e-08,9.99134499579668e-08,2.9392604343139865e-09,2.270098775625229e-09,0.015518843672172085,0.0085202753543853,0.015360042926743374,0.0151900053024292,0.006632722029335181,0.0135674374178051,0.14322457084676526,0.6633017063140869,0.3915767026522724,0.7073170731707317
E3_DK6,active,doorkey6x6,ppo-cf-distilled-uncertainty-leverage,2,0.75,uncertainty_leverage,e3_dk6_active_b0p75,MiniGrid-DoorKey-6x6-v0,doorkey6x6_cf,landscape_distill,1.0,0.5,16,0.02,0.64,0.75,750000,1831.3,9866,4784,runs/e3_dk6_active_b0p75/seed_2,2026-09-11T17:07:07+0800,c7f5f8c,1.0,8872,0.6044211111092963,4784.0,4784.0,1.0,1.0,0.949575,20.17,0.7149884942919016,0.0178250356329954,0.155517578125,0.7190767670568288,-0.0179246735497144,0.0007278968405444,410.0,,,,,,,0.0,0.0,0.6905737704918032,0.75,1.0,1.0,4.558223438044613e-09,3.725290298461914e-09,0.005193231565956629,0.0108647970482707,0.050965993843280516,0.106689766049385,4.558223438044613e-09,3.725290298461914e-09,0.005193231565956629,0.0108647970482707,0.3272214923554388,0.367595818815331,0.3272214923554388,0.367595818815331,0.5876316140210582,0.7073170731707317,7519.88524590164,8371.0,41.0,41.0,0.9344262295081968,1.0,2.1443750722406075e-05,1.8486797177530437e-05,9.000157771462957e-05,6.965339867392463e-05,2.004321713661526e-05,1.7441540246114308e-05,6.821472023716053e-05,5.333133231033571e-05,0.004776670350874539,0.0041550757790957,0.007181588722584086,0.0083070467794086,0.004727541475318941,0.0040702572384815,0.003650089427246536,0.0043574984155299,0.01053830651060503,0.0090048420356541,0.0035093734828430937,0.0042625601552284,0.9344262295081968,1.0,0.004776670365299107,0.0041550756432116,0.006863931690780346,0.0066638546995818,0.0036500894112761356,0.0043574981391429,0.0060293780712288155,0.0076937661506235,2.1443750701141733e-05,1.8486796761862934e-05,1.0,1.0,3548.1639344262294,4096.0,7544.0,15006.0,0.0022467580089936563,0.0012602742528542,10.0,10.0,9.702856743687549e-08,2.2161839297041297e-07,2.1031841332260823e-09,3.5506673157215123e-09,0.014193408752287709,0.0117965452373027,0.014120069426093762,0.0103205628693103,0.005009900047119321,0.0047574574127793,0.1405390960334856,-0.1431577801704406,0.363321338131414,0.0975609756097561
E3_DK6,uncertainty,doorkey6x6,ppo-cf-distilled-uncertainty,0,0.75,uncertainty,e3_dk6_uncertainty_b0p75,MiniGrid-DoorKey-6x6-v0,doorkey6x6_cf,landscape_distill,1.0,0.5,16,0.02,0.64,0.75,750000,1194.4,15962,9632,runs/e3_dk6_uncertainty_b0p75/seed_0,2026-09-11T16:25:46+0800,c7f5f8c,1.0,15158,0.6687479696574357,242304.0,351600.0,1.0,1.0,0.959425,16.23,0.434672643430531,0.0215447229711571,0.1328125,0.7718080729709513,-0.0133918132924009,0.0002815268658196,629.0,,,,,,,0.0,0.0,0.6905737704918032,0.75,1.0,1.0,3.93604954336948e-09,4.547473508864641e-09,0.005407648898986795,0.0102796414867043,0.057234530754468764,0.1131617054343223,3.93604954336948e-09,4.547473508864641e-09,0.005407648898986795,0.0102796414867043,0.23585803773728603,0.4790940766550522,0.23585803773728603,0.4790940766550522,0.4646141543382646,0.8048780487804879,8348.945355191257,8443.0,41.0,41.0,0.9344262295081968,1.0,0.003646690951377469,0.0026682077313537,0.007439822816388741,0.0065194373019039,0.003569202956128113,0.0025895328871123,0.006808684682691339,0.0060355588793754,0.0035308796425438144,0.0026682077313537,0.007075293865302119,0.0065194373019039,0.0034584725757111864,0.0025895328871123,0.0033587260578692713,0.0029932629608708,0.006004780857580543,0.0067425666592742,0.00330467112673416,0.0029166703093339,0.9344262295081968,1.0,0.0035308796417507066,0.0026682077441364,0.0051477815067812365,0.004905676934868,0.003358726073539883,0.0029932630714029,0.005648080563004703,0.0058260494843125,0.0036466909505764055,0.0026682077441364,1.0,1.0,3548.1639344262294,4096.0,7544.0,15006.0,0.0015296318784539815,0.0006277898268308,10.0,10.0,8.920649106349117e-08,1.3234966900199654e-07,9.235362687106486e-10,1.8917489796876907e-09,0.011295509087290729,0.0096541102975606,0.011142433962283373,0.0098882792517542,0.0027110859253277908,0.0037671653553843,0.084726987102214,0.2683931589126587,0.2936158869785419,0.4390243902439024
E3_DK6,uncertainty,doorkey6x6,ppo-cf-distilled-uncertainty,1,0.75,uncertainty,e3_dk6_uncertainty_b0p75,MiniGrid-DoorKey-6x6-v0,doorkey6x6_cf,landscape_distill,1.0,0.5,16,0.02,0.64,0.75,750000,1253.2,14676,3360,runs/e3_dk6_uncertainty_b0p75/seed_1,2026-09-11T16:28:21+0800,c7f5f8c,1.0,13737,0.6114735108735757,3360.0,3360.0,1.0,1.0,0.9547,18.12,0.4929912993684411,0.1774075945213553,0.23291015625,0.4808268486588894,-0.0136322534526698,0.0016993649533105,600.0,,,,,,,0.0,0.0,0.6905737704918032,0.75,1.0,1.0,3.84784315642694e-09,4.649336915463209e-09,0.005764633256183693,0.0155287161469459,0.05850283723182036,0.0500958934426307,3.84784315642694e-09,4.649336915463209e-09,0.005764633256183693,0.0155287161469459,0.23523923763827795,0.4355400696864111,0.23523923763827795,0.4355400696864111,0.46807943489270964,0.7804878048780488,8299.289617486338,7326.0,41.0,41.0,0.9344262295081968,1.0,0.0035211346449432607,0.0026155900217261,0.007026789256435536,0.0076638168269177,0.003449519378839035,0.0025124623191786,0.006482102844880421,0.0064083887264132,0.0034078093601408316,0.0026155900217261,0.006682713611440095,0.0076638168269177,0.0033409079778272963,0.0025124623191786,0.0032265169807576205,0.0032775061794794,0.005250550043562088,0.0059286228937619,0.003185169020829875,0.0032233478410212,0.9344262295081968,1.0,0.0034078093738004593,0.0026155901141464,0.004959007085153346,0.0049472912214696,0.003226516948366498,0.0032775062136352,0.00557386867900481,0.0052597830072045,0.0035211346622784725,0.0026155901141464,1.0,1.0,3548.1639344262294,4096.0,7544.0,15006.0,0.0016753885348262912,0.0007382455805782,10.0,10.0,8.604970662915046e-08,1.4972465578466656e-07,1.0471275285841539e-09,4.745288606500253e-10,0.012510870388693696,0.0077022453770041,0.01209549001361432,0.0066855601035058,0.002525497266950797,0.0030009467154741,0.02411792736871535,-0.1492886841297149,0.2861522057843529,0.2682926829268293
E3_DK6,uncertainty,doorkey6x6,ppo-cf-distilled-uncertainty,2,0.75,uncertainty,e3_dk6_uncertainty_b0p75,MiniGrid-DoorKey-6x6-v0,doorkey6x6_cf,landscape_distill,1.0,0.5,16,0.02,0.64,0.75,750000,1462.9,12299,4784,runs/e3_dk6_uncertainty_b0p75/seed_2,2026-09-11T16:36:36+0800,c7f5f8c,1.0,11442,0.6439630844426296,4784.0,4784.0,1.0,1.0,0.9552999999999998,17.88,0.6588330287486315,0.0169308497643214,0.1387939453125,0.6464459889265801,-0.0135580181959085,0.0006906852195243,513.0,,,,,,,0.0,0.0,0.6905737704918032,0.75,1.0,1.0,2.923416651440581e-09,7.057678885757923e-09,0.004906717770544588,0.0105303972959518,0.05228194674792507,0.1068123877048492,2.923416651440581e-09,7.057678885757923e-09,0.004906717770544588,0.0105303972959518,0.2550884408141505,0.6202090592334495,0.2550884408141505,0.6202090592334495,0.4951352792216446,0.951219512195122,8178.945355191257,7305.0,41.0,41.0,0.9344262295081968,1.0,0.0037248180167743887,0.0033756806661955,0.007239257991495875,0.0089902684955698,0.0036530232788752484,0.0032609830573244,0.006652716927132275,0.0078576104715466,0.0036311039233941906,0.0033756806661955,0.006913284082652369,0.0089902684955698,0.0035640539051931047,0.0032609830573244,0.0035802447839923587,0.0042259839703007,0.006244321922606122,0.0068236420487576,0.003525821683502487,0.0041729177115978,0.9344262295081968,1.0,0.0036311039295240438,0.0033756806515157,0.005121669269553614,0.0054575549438595,0.0035802447733270333,0.0042259842157363,0.005978455885359204,0.0079694958403706,0.003724818021244164,0.0033756806515157,1.0,1.0,3548.1639344262294,4096.0,7544.0,15006.0,0.0017244569480481808,0.0009334442031104,10.0,10.0,8.550305946688449e-08,1.487715053372085e-07,9.62491405337713e-10,1.1568772606551647e-09,0.012295872637813687,0.0097233904525637,0.012007610265501407,0.0108910519629716,0.0029252172613775497,0.0032755401916801,0.046883138032474854,0.5030592679977417,0.2658936425429828,0.5365853658536586
E3_DK6,uniform,doorkey6x6,ppo-cf-distilled-uniform,0,0.75,uniform,e3_dk6_uniform_b0p75,MiniGrid-DoorKey-6x6-v0,doorkey6x6_cf,landscape_distill,1.0,0.5,16,0.02,0.64,0.75,750000,1167.0,15385,9632,runs/e3_dk6_uniform_b0p75/seed_0,2026-09-11T16:05:51+0800,c7f5f8c,1.0,14497,0.6260590096574356,319184.0,382512.0,1.0,1.0,0.961975,15.21,0.3440617378801107,0.0234357429872034,0.1177978515625,0.7411634373817257,-0.0108720167190767,0.0003540712823451,647.0,,,,,,,0.0,0.0,0.6905737704918032,0.75,1.0,1.0,1.8365576697562047e-09,2.648448571562767e-09,0.004352679931942853,0.0112845320254564,0.04041784654671698,0.1158136948943138,1.8365576697562047e-09,2.648448571562767e-09,0.004352679931942853,0.0112845320254564,0.26499876239980197,0.8954703832752613,0.26499876239980197,0.8954703832752613,0.3659869385579102,0.975609756097561,8017.68306010929,4991.0,41.0,41.0,0.0,0.0,,,,,,,,,0.0021045527159407793,0.0017404174681701,0.0021020429724217192,0.0020013462018119,0.0021046039862368834,0.0017350870854699,0.0022178534188634484,0.0033383919123082,0.0022487704556569963,0.0039873498672244,0.0022172218301696077,0.0033251346745645,0.9344262295081968,1.0,0.0021045527216097437,0.0017404174432158,0.003160823436194337,0.0037196215707808,0.002217853421159549,0.0033383918926119,0.0037103847083965946,0.0061039915308356,,,0.0,0.0,3548.1639344262294,4096.0,7544.0,15006.0,0.0006875723776163098,0.0002609428687719,10.0,10.0,8.863224013131783e-08,1.6431476979050785e-07,1.0475937688667226e-09,1.928128767758608e-09,0.006056938072936202,0.0023444541729986,0.0060825215966206145,0.0031276829540729,0.0008695827448126875,0.0015633191214874,0.14134798576174903,0.5895623564720154,0.29921364787418364,0.6341463414634146
E3_DK6,uniform,doorkey6x6,ppo-cf-distilled-uniform,1,0.75,uniform,e3_dk6_uniform_b0p75,MiniGrid-DoorKey-6x6-v0,doorkey6x6_cf,landscape_distill,1.0,0.5,16,0.02,0.64,0.75,750000,1263.1,10988,3360,runs/e3_dk6_uniform_b0p75/seed_1,2026-09-11T16:07:28+0800,c7f5f8c,1.0,10046,0.6048799108735757,3360.0,3360.0,1.0,1.0,0.9537,18.52,0.5282629076391459,0.0181099091350915,0.1278076171875,0.5683644029412144,-0.0057409084110986,0.0009467915242566,597.0,,,,,,,0.0,0.0,0.6905737704918032,0.75,1.0,1.0,1.5209484867665083e-09,3.041350282728672e-09,0.0036602978379264117,0.0097890747711062,0.03990355070904301,0.0603122971951961,1.5209484867665083e-09,3.041350282728672e-09,0.0036602978379264117,0.0097890747711062,0.18602082976333273,0.7334494773519163,0.18602082976333273,0.7334494773519163,0.2928162068505931,0.926829268292683,8359.322404371585,6182.0,41.0,41.0,0.0,0.0,,,,,,,,,0.0024947321514043157,0.0023697972976748,0.0024934618489882775,0.0025061115696344,0.0024947581017775436,0.0023670126015361,0.002469210335191178,0.002929719101175,0.002455204647907375,0.0026049556866538,0.0024694964503773433,0.0029363535306694,0.9344262295081968,1.0,0.002494732148899479,0.0023697973228991,0.0035881289157537566,0.0042846077121794,0.0024692103425116665,0.0029297191649675,0.004145533748192387,0.0054375096224248,,,0.0,0.0,3548.1639344262294,4096.0,7544.0,15006.0,0.0008404621435261271,0.0007187692739535,10.0,10.0,7.866862650803217e-08,1.386797521263361e-07,8.214442071300648e-10,2.954038791358471e-09,0.0070439256826934195,0.003217498306185,0.0070378708130236734,0.0035787031520158,0.0010184690969661037,0.0008618519059382,0.10981896580190556,0.5283378958702087,0.3074770091963215,0.5121951219512195
E3_DK6,uniform,doorkey6x6,ppo-cf-distilled-uniform,2,0.75,uniform,e3_dk6_uniform_b0p75,MiniGrid-DoorKey-6x6-v0,doorkey6x6_cf,landscape_distill,1.0,0.5,16,0.02,0.64,0.75,750000,1548.1,3114,4784,runs/e3_dk6_uniform_b0p75/seed_2,2026-09-11T16:12:12+0800,c7f5f8c,0.99,1535,0.33120873777596294,4784.0,4784.0,0.99,0.99,0.8095749999999999,75.77,1.4817094467580318,0.0067301965755177,0.079345703125,0.7989082535326978,-0.0062648247694596,0.0037867829159949,487.0,,,,,,,0.0,0.0,0.6905737704918032,0.75,1.0,1.0,8.166856286564827e-10,2.211891114711761e-09,0.0013323505696919001,0.0043174116872251,0.04019485239468795,0.0294827334582805,8.166856286564827e-10,2.211891114711761e-09,0.0013323505696919001,0.0043174116872251,0.03167304506768717,0.2560975609756097,0.03167304506768717,0.2560975609756097,0.07956817273090763,0.5365853658536586,8927.185792349726,8024.0,41.0,41.0,0.0,0.0,,,,,,,,,0.0017444858979256711,0.0031608965396117,0.001755966727959148,0.0032407987079151,0.0017442513617864695,0.0031592642581466,0.0013525186847361639,0.0031702448227122,0.0013695310183085142,0.003158146447343,0.0013521711482755395,0.0031704919743764,0.9344262295081968,1.0,0.0017444859055262298,0.0031608964782208,0.0023801437126792758,0.0044597713276743,0.0013525186797102176,0.0031702448613941,0.0022732966650745113,0.0058826822787523,,,0.0,0.0,3548.1639344262294,4096.0,7544.0,15006.0,0.0004640719427031652,0.0012567515019327,10.0,10.0,3.6922133857898e-08,7.718335837125778e-08,3.4208058850659066e-10,1.0622898116707802e-09,0.004889886918200298,0.0180696323513984,0.004814196502041692,0.0180757455527782,0.000558481204051147,0.0012576482258737,-0.000670278751828244,0.1152200251817703,0.21524723443955748,0.3658536585365853
E3_RBD6,active,redbluedoors6x6,ppo-cf-distilled-uncertainty-leverage,0,0.75,uncertainty_leverage,e3_rbd6_active_b0p75,MiniGrid-RedBlueDoors-6x6-v0,redbluedoors6x6_cf,landscape_distill,1.0,0.1,64,0.02,2.56,0.75,1000000,5099.6,3296,11728,runs/e3_rbd6_active_b0p75/seed_0,2026-09-11T20:02:04+0800,c7f5f8c,0.0,65,0.016382063750851567,,,0.02,0.19,0.0,349.8,1.1418131701648235,0.0038752403579565,0.04193115234375,0.4288344226661854,-0.0047230986710928,2.0487968072302465e-05,196.0,,,,,,,0.0,0.0,0.6823770491803278,0.75,1.0,1.0,2.054656626986813e-10,6.639311322942376e-11,0.0006564633153114983,0.0002690319961402,0.028813476552118,0.0215292442589998,2.054656626986813e-10,6.639311322942376e-11,0.0006564633153114983,0.0002690319961402,0.002920260467241659,0.0,0.08497315359570452,0.0108885017421602,0.014294282287085142,0.0,132678.7213114754,146432.0,164.0,164.0,0.9508196721311475,1.0,6.328247356733532e-07,5.070496435493223e-08,1.628613631906889e-06,1.0802035012810537e-07,6.124822619585674e-07,4.953409698238608e-08,1.469414877591205e-06,9.230073061416989e-08,0.0007792111605152606,0.0002568376257388,0.0010883602520521964,0.0003407689813373,0.0007728957082217755,0.00025512303402,0.0006007005935587803,0.0001953560041654,0.0011316071218590198,0.000319417888865,0.0005898549694131376,0.0001928216059229,0.9508196721311475,1.0,0.0007792111666544362,0.000256837636698,0.0010283638057145723,0.0003399341076146,0.0006007006039773705,0.000195355998585,0.0008807387918645591,0.0002713801513891,6.328247369190154e-07,5.0704962006875576e-08,1.0,1.0,3709.6393442622953,4096.0,10168.0,20008.0,0.00035208512232296483,2.8424964148143773e-05,10.0,10.0,6.537367639938977e-09,2.0954757928848267e-09,1.4724588761398126e-10,4.0017766878008836e-11,0.0017965887773392197,0.0012253748718649,0.001651605524382211,0.0011976896785199,0.000496944183456,0.0001559801894472,-0.0010489942882874147,-0.0096883885562419,0.22570971611355456,0.0548780487804878
