wandb_run_id,wandb_run_name,wandb_group,wandb_state,experiment,env_tag,algo_tag,seed,beta,query_strategy,global_step,mean_return,mean_success
0kj80tk9,exp1_dk5_cf_seed0,EXP1_DK5,finished,experiment_1,doorkey5x5,ppo-cf,0,,,176128,0.955648,1.0
0kj80tk9,exp1_dk5_cf_seed0,EXP1_DK5,finished,experiment_1,doorkey5x5,ppo-cf,0,,,180224,0.959824,1.0
0kj80tk9,exp1_dk5_cf_seed0,EXP1_DK5,finished,experiment_1,doorkey5x5,ppo-cf,0,,,184320,0.958744,1.0
0kj80tk9,exp1_dk5_cf_seed0,EXP1_DK5,finished,experiment_1,doorkey5x5,ppo-cf,0,,,188416,0.9447760000000001,1.0
0kj80tk9,exp1_dk5_cf_seed0,EXP1_DK5,finished,experiment_1,doorkey5x5,ppo-cf,0,,,192512,0.9555039999999999,1.0
0kj80tk9,exp1_dk5_cf_seed0,EXP1_DK5,finished,experiment_1,doorkey5x5,ppo-cf,0,,,196608,0.9592120000000003,1.0
0kj80tk9,exp1_dk5_cf_seed0,EXP1_DK5,finished,experiment_1,doorkey5x5,ppo-cf,0,,,200704,0.9571239999999999,1.0
0kj80tk9,exp1_dk5_cf_seed0,EXP1_DK5,finished,experiment_1,doorkey5x5,ppo-cf,0,,,204800,0.958672,1.0
0kj80tk9,exp1_dk5_cf_seed0,EXP1_DK5,finished,experiment_1,doorkey5x5,ppo-cf,0,,,208896,0.9584200000000002,1.0
0kj80tk9,exp1_dk5_cf_seed0,EXP1_DK5,finished,experiment_1,doorkey5x5,ppo-cf,0,,,212992,0.9590680000000001,1.0
0kj80tk9,exp1_dk5_cf_seed0,EXP1_DK5,finished,experiment_1,doorkey5x5,ppo-cf,0,,,217088,0.9509679999999999,1.0
0kj80tk9,exp1_dk5_cf_seed0,EXP1_DK5,finished,experiment_1,doorkey5x5,ppo-cf,0,,,221184,0.9589960000000001,1.0
0kj80tk9,exp1_dk5_cf_seed0,EXP1_DK5,finished,experiment_1,doorkey5x5,ppo-cf,0,,,225280,0.9602560000000001,1.0
0kj80tk9,exp1_dk5_cf_seed0,EXP1_DK5,finished,experiment_1,doorkey5x5,ppo-cf,0,,,229376,0.95986,1.0
0kj80tk9,exp1_dk5_cf_seed0,EXP1_DK5,finished,experiment_1,doorkey5x5,ppo-cf,0,,,233472,0.9569799999999999,1.0
0kj80tk9,exp1_dk5_cf_seed0,EXP1_DK5,finished,experiment_1,doorkey5x5,ppo-cf,0,,,237568,0.9591039999999998,1.0
0kj80tk9,exp1_dk5_cf_seed0,EXP1_DK5,finished,experiment_1,doorkey5x5,ppo-cf,0,,,241664,0.9522999999999999,1.0
0kj80tk9,exp1_dk5_cf_seed0,EXP1_DK5,finished,experiment_1,doorkey5x5,ppo-cf,0,,,245760,0.9579160000000002,1.0
0kj80tk9,exp1_dk5_cf_seed0,EXP1_DK5,finished,experiment_1,doorkey5x5,ppo-cf,0,,,249856,0.9562239999999999,1.0
